school_name,census_block
Ohio Elementary School,360450612001014
Dexter Elementary School,360450604011071
Indian River Central High School,360450606012037
Theresa Elementary School,360450607001075
Lake Placid High School,360319605012030
Paul Smiths College,360339508001035
Grant C. Madill Elementary School,360894916002019
John F. Kennedy Elementary School,360894914003017
Madrid-Waddington High School,360894905002050
Malone Middle School,360339505013013
Flanders Elementary School,360339514003001
Madison Elementary School,360894902002010
Rouses Point Elementary School,360191001022009
