school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
Yeshiva Shaarie Tzion School,-74.48892211914062,40.5263786315918,Unknown,USA,60162ced-210c-3e0d-9b2e-4b1cd19e5302,
St. Joseph - St. Thomas School,-74.2110595703125,40.52642059326172,Unknown,USA,1684c899-8eea-33c6-91b4-f78101ce0ab9,
NuView Academy,-74.48987579345703,40.526493072509766,Unknown,USA,abdbe9fa-1144-3c51-9a0c-302c128003ae,
Kindercare Learning Center School,-74.46956634521484,40.52727508544922,Unknown,USA,1fb1a822-3059-39a6-b9f7-c48a2d23a6db,
Yeshiva of Staten Island,-74.21440124511719,40.527587890625,Unknown,USA,3e86fb5b-8cc0-33ef-b9d0-749a413eb41a,
Tottenville High School,-74.19352722167969,40.52831268310547,Secondary,USA,a13fafd6-07c1-34f5-9fbe-4e12626ef5d0,
First Class School,-74.43512725830078,40.528419494628906,Unknown,USA,7b88f315-e401-3118-b777-7d36f8d39aff,
Our Lady of Peace School,-74.3175277709961,40.52975845336914,Unknown,USA,a947ff5a-03f3-3363-81cb-e45c80879c89,
Public School 5,-74.18753814697266,40.52975845336914,Unknown,USA,c29e94dd-5b61-3da0-a3f5-9c838ac92284,
Raritan Valley Academy School,-74.41886901855469,40.529945373535156,Unknown,USA,23667fd0-dda6-3b0a-9ce2-4c25f91ef558,
Metuchen Christian Academy,-74.36869049072266,40.53002166748047,Unknown,USA,8b7051d8-785b-392a-ad64-935a157e73af,
An Noor Academy School,-74.42912292480469,40.530399322509766,Unknown,USA,b8674d39-ee90-30e9-9a84-bdc33a261ccb,
Our Redeemer Lutheran School,-74.3160629272461,40.53046798706055,Unknown,USA,e8daa51d-1315-3a35-ab6e-fbf36ae108ff,
Edgar Middle School,-74.3620834350586,40.53086853027344,Secondary,USA,2046bf48-82af-3fbf-a725-af4a711e5c07,
Piscataway Regional Day School,-74.4197006225586,40.530982971191406,Unknown,USA,7b48aebc-b024-330a-9eb0-706f25f38220,
Yeshiva Shaarei Tzion Boys School,-74.42719268798828,40.53124237060547,Unknown,USA,11c21a60-a3a7-3b89-a5c1-ce4638a81c52,
Bright Beginnings Learning Center,-74.41969299316406,40.531925201416016,Unknown,USA,25e421fb-f858-376f-a088-e496b74c555a,
Timothy Christian School,-74.41423797607422,40.53269958496094,Unknown,USA,700f2f8e-814b-3aba-8812-1fbab7a2204a,
James J. Flynn Elementary School,-74.28494262695312,40.533504486083984,Primary,USA,d15baa1f-8149-396c-90ac-f3f69173a6d3,
Our Lady Star of the Sea School,-74.19024658203125,40.53392028808594,Unknown,USA,e1d93de3-b24c-38ed-8985-7c39b8a65141,
Early Learning Center Preschool,-74.47394561767578,40.53444290161133,Unknown,USA,b5c02ee3-9809-305e-9775-9b8178b4a601,
Public School 55,-74.16350555419922,40.536380767822266,Unknown,USA,35df5c1f-3f0b-3005-89c9-77e92ce2cf1d,
Knollwood Elementary School,-74.48729705810547,40.53851318359375,Primary,USA,44ebce7b-8be3-3832-8c8e-0ed68fb8ac61,
Mildred B. Moss Elementary School,-74.35554504394531,40.53889846801758,Primary,USA,3fb5fbb0-9ed8-3ff3-9ee0-db58e5a8d77f,
Public School 4,-74.23670959472656,40.539730072021484,Unknown,USA,a711f3f7-67bb-343b-9aac-558cefcfb0c2,
Woodbridge Vocational Technical High School,-74.27849578857422,40.540565490722656,Secondary,USA,d66b35f8-fcca-32c7-b8dd-d8dcbc36d6ac,
The Children's Corner,-74.49482727050781,40.5412712097168,Unknown,USA,e188b363-6953-38c9-8a86-d4542ff189cd,
Kalthleen Grimm School for Leadership and Sustainability at Sandy Ground,-74.21890258789062,40.5413932800293,Unknown,USA,f4831d7b-988b-3a76-923b-32eaef5af02e,
Lake Nelson Seventh Day Adventist School,-74.4558334350586,40.54158020019531,Unknown,USA,3b4cf3ca-1d30-3a0b-9701-f3e804148517,
Public School 56 - The Louis Desario School,-74.21383666992188,40.54184341430664,Unknown,USA,368e4ce7-88a8-3e3f-947a-df3e189b3f79,
A B Z Academy School,-74.36042785644531,40.54204177856445,Unknown,USA,6fdcec0f-392b-307a-bbda-e79f07fd40f0,
Franklin School,-74.37542724609375,40.542327880859375,Unknown,USA,9c8890a9-5adc-3255-a715-b08b7402462f,
Children First Christian Montessori School,-74.37086486816406,40.542991638183594,Unknown,USA,8347d799-92a9-30b3-80f0-3a76f451b9e9,
Public School 36,-74.18251037597656,40.54346466064453,Unknown,USA,924e192a-27a7-33f2-874f-b0ad103bbd11,
Metuchen Edison Community Day School,-74.35379791259766,40.544193267822266,Unknown,USA,a3db31e3-5b9c-306b-95cd-490230bb6f63,
Frank D. Paulo Intermediate School 75,-74.19694519042969,40.54448318481445,Unknown,USA,e1ed48b4-4a83-3812-bac0-b0811b48800e,
Campbell Elementary School,-74.36561584472656,40.54501724243164,Primary,USA,8caf4859-44a6-307c-afc5-23b68bebf374,
Saint Francis Cathedral School,-74.36332702636719,40.54526138305664,Unknown,USA,10251f25-9ba5-38f5-a640-c85b6c3f5cf1,
Intermediate School 24,-74.14553833007812,40.545623779296875,Unknown,USA,99ee1a2d-e519-37c1-9471-dd9ce1180424,
Saint Clare's School,-74.1500015258789,40.546504974365234,Unknown,USA,3a9eaf25-53f9-3b36-a089-283758548ddb,
Petits Enfants,-74.35965728759766,40.54658889770508,Unknown,USA,f5640fba-7758-3813-aba6-8f3f440c3e4f,
Randolphville Elementary School,-74.45008850097656,40.5466194152832,Primary,USA,10bcd8f0-74bd-3f6b-938c-4b723f9a301a,
Rabbi Jacob Joseph School,-74.15715789794922,40.54672622680664,Unknown,USA,f421866d-07df-3dff-ae61-192daf03839e,
Lafayette Estates School #25,-74.3150405883789,40.54708480834961,Unknown,USA,d28ed91a-f7b8-38fe-a36e-208ff4115d1c,
Public School 8,-74.15229034423828,40.547481536865234,Unknown,USA,98b74364-ccae-3878-b971-1ef6dbb4e699,
Woodburn Hall,-74.3739242553711,40.5515251159668,Unknown,USA,6d6edcc6-93e9-32f6-a597-109ef1338490,
Kinder College Early Childhood Preschool,-74.4569091796875,40.55158233642578,Secondary,USA,6cd049a8-511e-3a16-a84f-01c35644c82b,
O'Neill Hall,-74.37327575683594,40.55193328857422,Unknown,USA,482b9052-7534-32bd-9f54-cb4f47935875,
Maurice Wollin School,-74.19526672363281,40.55207061767578,Unknown,USA,fc2face4-d043-3604-b75c-a0c102aae1ca,
Public School 42,-74.16913604736328,40.55220031738281,Unknown,USA,0f4740f7-e25d-3b1d-96bf-3fe795e13617,
Public School 53 - The Barbara Esselborn School,-74.13705444335938,40.55222702026367,Unknown,USA,b05dbdc8-27f3-3d22-a654-86657431bf13,
Saint James School,-74.28180694580078,40.55229568481445,Unknown,USA,89b02d31-3386-3cb0-8c83-c84137c294a5,
Lakeview School,-74.343017578125,40.55257034301758,Unknown,USA,fe59e67a-9a5e-3622-944b-ceb76ca2d363,
Metuchen High School,-74.35384368896484,40.55345916748047,Secondary,USA,9e85d241-a842-31b5-84cb-7594672745aa,
Woodbridge Grade School Number 12 (historical),-74.26163482666016,40.55350875854492,Primary,USA,8a74db2b-eebc-357a-af5a-f3c843176b82,
Great Kills High School,-74.14835357666016,40.554447174072266,Secondary,USA,002c1932-552b-30b0-98a9-dc382d7d70d0,
