school_name,longitude,latitude,education_level,country_iso3_code,url,trimmed_url,giga_id_school
Tottenville High School,-74.1935272216797,40.5283126831055,Secondary,USA,https://www.tottenvillehs.org/,tottenvillehs.org,a13fafd6-07c1-34f5-9fbe-4e12626ef5d0
Roosevelt Elementary School,-74.5914077758789,40.5452880859375,Primary,USA,https://www.roo.ossiningufsd.org/,roo.ossiningufsd.org,cfcff967-b41b-3b14-9898-e23f84253a8a
Rachel Carson High School for Coastal Studies,-73.9723052978516,40.5827407836914,Secondary,USA,https://www.rachelcarsonhs.org/,rachelcarsonhs.org,088da459-b691-3e94-8774-ae0377176c74
Lido Elementary School,-73.629768371582,40.5905151367188,Primary,USA,https://www.lbeach.org/schools/lido_elementary_school,lbeach.org,7a4249b9-3b28-3b4b-bfd5-3b8e4baf9c6d
Saint Edmund Preparatory High School,-73.952018737793,40.6008338928223,Secondary,USA,https://www.stedmundprep.org/,stedmundprep.org,68a70473-5166-3f17-842d-e2d920c2ba9c
New Utrecht High School,-74.0022735595703,40.6130294799805,Secondary,USA,https://www.newutrechthighschoolnyc.com/,newutrechthighschoolnyc.com,6c838d65-444a-3054-acf3-127d413343bc
Port Richmond High School,-74.1420593261719,40.6353378295898,Secondary,USA,https://www.portrichmondhs.org/,portrichmondhs.org,2e68ca58-2fde-3f4d-8144-0665bdb60be3
Waverly Park Elementary School,-73.675666809082,40.638111114502,Primary,USA,https://www.lynbrookschools.org/schools/waverly_park_elementary,lynbrookschools.org,d1b3190d-f1ef-3a64-9c2b-771d5d686015
Rhame Avenue Elementary School,-73.6647720336914,40.6383857727051,Primary,USA,https://eastrockawayschools.org/schools/rhame_avenue_school,eastrockawayschools.org,00717a52-9ac5-3a10-9c18-c399133bbed5
East Rockaway Junior-Senior High School,-73.6572570800781,40.6464195251465,Primary,USA,https://eastrockawayschools.org/,eastrockawayschools.org,540a7e24-e94c-37b7-a5f5-13501f37c879
Evergreen Elementary School,-74.3848876953125,40.6556053161621,Primary,USA,https://evergreen.spfk12.org/,evergreen.spfk12.org,d4620180-0738-36bc-87b6-0793151436a7
Seaford Harbor Elementary School,-73.5003204345703,40.6565475463867,Primary,USA,https://www.seaford.k12.ny.us/seafordharbor,seaford.k12.ny.us,f28b2731-7a40-3c85-b61e-5cd3cd58ab21
Howard T. Herber Middle School,-73.6627578735352,40.6696014404297,Secondary,USA,https://hth.malverneschools.org/,hth.malverneschools.org,f5e752ce-82db-3616-84af-f1fe6e34198a
Merrick Avenue Middle School,-73.5576400756836,40.6714668273926,Secondary,USA,https://www.bellmore-merrick.k12.ny.us/schools/merrick_avenue_middle_school,bellmore-merrick.k12.ny.us,2b970c96-5df3-3f19-aa05-ba50613dc28c
Harding Avenue Elementary School,-73.3524780273438,40.6736755371094,Primary,USA,https://www.lindenhurstschools.org/,lindenhurstschools.org,56ff3e62-fe4c-3c41-91f8-ecc4f5142ecc
South Brooklyn Community High School,-74.0141525268555,40.6777954101563,Secondary,USA,https://www.mysbchs.org/,mysbchs.org,84be2f22-1df1-3976-b365-863cea62f3c1
Susan E. Wiley Elementary School,-73.3945541381836,40.6790580749512,Primary,USA,https://www.copiague.k12.ny.us/48760_3,copiague.k12.ny.us,6da8093b-4188-3985-8fbd-451bc8bb73d9
Park Avenue Elementary School,-73.5484161376953,40.6806945800781,Primary,USA,https://www.northbellmoreschools.org/,northbellmoreschools.org,73fd6a77-4366-33be-97c6-60fcd530a392
William S. Covert Elementary School,-73.6231384277344,40.6828346252441,Primary,USA,https://covert.rvcschools.org/,covert.rvcschools.org,f18cd91e-554e-325a-b6d8-b938c24923ea
East Lake Elementary School,-73.4406585693359,40.6864128112793,Primary,USA,https://www.msd.k12.ny.us/o/eles,msd.k12.ny.us,086b2877-5884-3875-9441-ba66403b887e
