school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,url,trimmed_url
Bay Shore High School,-73.253662109375,40.731315612793,Secondary,USA,be8cf742-b533-37fb-8282-2474a88d9ca5,https://www.bayshore.k12.ny.us/SeniorHigh.cfm,bayshore.k12.ny.us
Martin Van Buren High School,-73.7397308349609,40.7338981628418,Secondary,USA,33d7ac14-437e-3c29-910a-60ac5297e2e4,https://www.mvbhigh.org/,mvbhigh.org
Idle Hour Elementary School,-73.1526336669922,40.7351837158203,Primary,USA,82d49ef3-1476-3356-b5cd-9784c14eba24,https://www.ccsdli.org/our_schools/idle_hour_elementary_school,ccsdli.org
New Hyde Park Road Elementary School,-73.6796722412109,40.7359466552734,Primary,USA,45e282cd-6180-3966-8397-a03a5030be70,https://www.nhp-gcp.org/,nhp-gcp.org
Cherry Avenue Elementary School,-73.0929183959961,40.7392997741699,Primary,USA,81561d94-fa62-34cf-af01-89fee8a0ee96,https://caes.sayvilleschools.org/,caes.sayvilleschools.org
Academy Street Elementary School,-73.0592575073242,40.7396507263184,Primary,USA,67c2218b-b937-32ba-9cf1-8e75d648aa96,https://www.bbpschools.org/o/ase,bbpschools.org
Queens Technical High School,-73.927978515625,40.7416076660156,Secondary,USA,4b6dc684-cccc-334b-bb98-6a9389ddeb63,https://www.queenstechhs.org/,queenstechhs.org
Landmark High School,-74.0025405883789,40.7434043884277,Secondary,USA,e528dcf6-fb94-3157-9df4-8e7d1337a497,https://www.landmarkhs.org/,landmarkhs.org
East Islip High School,-73.1831359863281,40.7512512207031,Secondary,USA,cf086cbe-e785-398b-a6c3-000a2ae6543b,https://www.eischools.org/,eischools.org
Hicksville High School,-73.5271148681641,40.7581748962402,Secondary,USA,ce91c718-fd95-3f5a-90a2-fab99ac7d432,https://hs.hicksvillepublicschools.org/,hs.hicksvillepublicschools.org
Laurel Park Elementary School,-73.2301483154297,40.7605514526367,Primary,USA,0cdcf116-9b3d-354e-861e-9950b107959c,https://laurelpark.bufsd.org/,laurelpark.bufsd.org
South Ocean Middle School,-73.0112457275391,40.7610206604004,Secondary,USA,02a45807-b0d2-3c81-8af9-bd3fb7850d67,https://www.pmschools.org/our-schools/south-ocean-middle-school,pmschools.org
Brentwood High School,-73.2552719116211,40.7739334106445,Secondary,USA,9b1afcac-8d73-38a0-8077-2eb8f269f616,https://bhs.bufsd.org/,bhs.bufsd.org
Cantiague Elementary School,-73.5526657104492,40.7786254882813,Primary,USA,c5aca10a-2b14-3667-af12-9289b90ebf91,https://cantiague.jerichoschools.org/,cantiague.jerichoschools.org
