school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
Altoona Area High School,-78.3980712890625,40.50979232788086,Secondary,USA,2ec0bc9f-47b8-34c3-8539-092d56cf2183,
Community Baptist Christian Academy School,-74.5076675415039,40.510276794433594,Unknown,USA,9f6f418c-e62d-3e3c-ae21-ee168b0e361c,
Public School 6,-74.230224609375,40.510337829589844,Unknown,USA,48c02181-f328-3601-837f-27ee0e861a3c,
Saint Marys Early Childhood Center School,-74.26563262939453,40.51042938232422,Unknown,USA,cb1018af-d0ce-3cf6-8ccd-cebfcbc754df,
Name unknown,-74.86456298828125,40.510520935058594,Unknown,USA,fed62b08-3b92-35f1-8846-39a23739d3a1,
Saint Matthew School,-74.3974609375,40.51070022583008,Unknown,USA,8f275383-d0be-3374-a29c-43d71f6d5893,
Altoona Area Junior High School,-78.3992691040039,40.510704040527344,Primary,USA,814a530d-4045-3dba-933f-c93cc523d052,
Saint Leos School,-78.41195678710938,40.510902404785156,Unknown,USA,ee39c333-8ecf-3c97-939d-65db7a9623d7,
Keiters School,-76.87386322021484,40.51091766357422,Unknown,USA,71c4c1e0-d141-3c69-b800-6ca2d83dc39d,
Peppermint Tree Child Care Center School,-74.34741973876953,40.5111198425293,Unknown,USA,ab7944ff-09b3-356a-8943-823d20a6d5ca,
Miller School,-76.81747436523438,40.51119613647461,Unknown,USA,7c7bd0fb-0ff1-3bfd-9342-4ad299d49ac2,
Penn-Lincoln School,-78.39494323730469,40.511234283447266,Unknown,USA,977cd071-b84c-344b-b40b-59fe0acb760b,
Mount Hope School,-77.36859893798828,40.51146697998047,Unknown,USA,a3313165-a44b-39c0-8b8d-61d51a766e1b,
Brandywine Heights High School,-75.69425964355469,40.51148986816406,Secondary,USA,ee30d3a9-9aec-3943-9203-3f029b4c87d5,
Former Upper Bern Elementary School,-76.09952545166016,40.51160430908203,Primary,USA,b11257bb-3f0d-35eb-a137-3a7fe2521dd0,
Macungie Elementary School,-75.54796600341797,40.51176452636719,Primary,USA,bd811cb9-f27c-34da-b077-9d7f7defb2bf,
John Marshall Elementary School,-74.41796112060547,40.51190185546875,Primary,USA,508d1636-1781-3132-bffc-e3e11efc8eb9,
Name unknown,-74.41796112060547,40.511924743652344,Unknown,USA,9b327e97-c220-3199-a7cb-df85fc687183,
