school_name,source,total_ips,high,medium,low,best_score,best_ip,best_hostname
Clayton A. Boughton High School,sampled,0,0,0,0,0,,
Green Tech High Charter School,sampled,0,0,0,0,0,,
Voorheesville Elementary School,sampled,0,0,0,0,0,,
New Scotland Elementary,sampled,0,0,0,0,0,,
Bell Top Elementary School,sampled,0,0,0,0,0,,
Robert Frost Elementary School,sampled,0,0,0,0,0,,
Farnsworth Middle School,sampled,0,0,0,0,0,,
Poestenkill Elementary School,sampled,0,0,0,0,0,,
Cooperstown Elementary School,sampled,0,0,0,0,0,,
Tech Valley High School,sampled,0,0,0,0,0,,
Blue Creek Elementary School,sampled,0,0,0,0,0,,
KIPP Troy Prep Elementary School,sampled,0,0,0,0,0,,
Lisha Kill Middle School,sampled,0,0,0,0,0,,
Turnpike Elementary School,sampled,0,0,0,0,0,,
William C Keane Elementary School,sampled,0,0,0,0,0,,
Hamilton Elementary School,sampled,0,0,0,0,0,,
Martin Luther King Magnet Elementary School,sampled,0,0,0,0,0,,
Fabius-Pompey Middle School-High School,sampled,0,0,0,0,0,,
West Senior High School,sampled,0,0,0,0,0,,
Lorraine Elementary School,sampled,0,0,0,0,0,,
Lancaster Middle School,sampled,0,0,0,0,0,,
Avon Middle School,sampled,0,0,0,0,0,,
Waterloo High & Middle School Campus,sampled,0,0,0,0,0,,
Seneca Falls Middle School,sampled,0,0,0,0,0,,
Skaneateles High School,sampled,0,0,0,0,0,,
Red Jacket High School,sampled,0,0,0,0,0,,
Amsterdam High School,sampled,0,0,0,0,0,,
Kenmore West Sr. High School,sampled,0,0,0,0,0,,
Pembroke Jr. Sr. High School,sampled,0,0,0,0,0,,
Eagle Hill Middle School,sampled,0,0,0,0,0,,
Enders Road Elementary School,sampled,0,0,0,0,0,,
OESJ High School,sampled,0,0,0,0,0,,
Immaculate Conception Elementary School,sampled,0,0,0,0,0,,
Westhill Central High School,sampled,0,0,0,0,0,,
Jordan-Elbridge Senior High School,sampled,0,0,0,0,0,,
OESJ Elementary/Middle School,sampled,0,0,0,0,0,,
Macedon Elementary School,sampled,0,0,0,0,0,,
