ip_address,school_name,geo_school,district_code,district_type,hostname,phase2_match,asn,whois_org,is_hosting,strong_dns_match,ny_k12_domain,whois_match,fcc_match,score,confidence,distance_km
163.153.159.20,Chateaugay Central School,Malone Middle School,cpcs,public,20.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.24,Chateaugay Central School,Malone Middle School,cpcs,public,24.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.22,Chateaugay Central School,Malone Middle School,cpcs,public,22.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.21,Chateaugay Central School,Malone Middle School,cpcs,public,21.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.23,Chateaugay Central School,Malone Middle School,cpcs,public,23.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.17,Chateaugay Central School,Malone Middle School,cpcs,public,17.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.27,Chateaugay Central School,Malone Middle School,cpcs,public,27.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.26,Chateaugay Central School,Malone Middle School,cpcs,public,26.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.29,Chateaugay Central School,Malone Middle School,cpcs,public,29.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.28,Chateaugay Central School,Malone Middle School,cpcs,public,28.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.32,Chateaugay Central School,Malone Middle School,cpcs,public,32.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.31,Chateaugay Central School,Malone Middle School,cpcs,public,31.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.30,Chateaugay Central School,Malone Middle School,cpcs,public,30.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.33,Chateaugay Central School,Malone Middle School,cpcs,public,33.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.35,Chateaugay Central School,Malone Middle School,cpcs,public,35.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.34,Chateaugay Central School,Malone Middle School,cpcs,public,34.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.38,Chateaugay Central School,Malone Middle School,cpcs,public,38.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.37,Chateaugay Central School,Malone Middle School,cpcs,public,37.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.39,Chateaugay Central School,Malone Middle School,cpcs,public,39.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.36,Chateaugay Central School,Malone Middle School,cpcs,public,36.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.40,Chateaugay Central School,Malone Middle School,cpcs,public,40.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
