cidr,school_name,reason
2a02:26f7:f6d4:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
150.221.12.120/29,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.39.237.248/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b389:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
72.43.32.24/29,Cooperstown Elementary School,no_phase2_match_or_timed_out
198.179.101.68/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f2:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b382:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6d0:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
2603:7080:f53c::/47,Cooperstown Elementary School,no_phase2_match_or_timed_out
208.125.63.20/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
72.45.230.32/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.39.164.244/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2603:7080:f538::/46,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b38c:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b404:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6e8:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.97.119.88/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
208.125.232.112/29,Cooperstown Elementary School,no_phase2_match_or_timed_out
50.75.150.4/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6c1:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6e1:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.213.200.68/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6d5:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.213.223.112/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
208.125.191.32/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b388:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b385:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
198.179.123.96/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2603:7082:8040::/42,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6c0:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b381:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
2603:7080:f500::/43,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.97.211.104/29,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.169.82.64/32,Cooperstown Elementary School,no_phase2_match_or_timed_out
72.45.217.220/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2603:7080:f560::/43,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.30.251.184/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.39.208.176/29,Cooperstown Elementary School,no_phase2_match_or_timed_out
69.193.72.120/29,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.39.31.168/29,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6e9:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
2603:7080:f544::/46,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6c4:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
2604:6000:dfc0:3d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.169.84.248/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
50.75.34.248/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
69.193.86.248/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.97.66.176/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
72.43.62.32/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
72.43.254.224/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2603:7080:f530::/45,Cooperstown Elementary School,no_phase2_match_or_timed_out
72.45.247.148/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
72.45.223.252/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.97.150.200/29,Cooperstown Elementary School,no_phase2_match_or_timed_out
208.105.105.100/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6cd:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
72.43.242.168/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
76.179.196.0/24,Cooperstown Elementary School,no_phase2_match_or_timed_out
208.125.187.192/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6ec:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
208.125.38.208/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.39.79.188/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
24.97.211.16/30,Cooperstown Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f8:a49d::/64,Cooperstown Elementary School,no_phase2_match_or_timed_out
