cidr,school_name,reason
100.1.107.0/24,Landmark High School,no_phase2_match_or_timed_out
100.1.115.0/24,"Columbia Secondary School For Math, Science And Engineering",no_phase2_match_or_timed_out
100.1.116.0/24,Glenwood Elementary School,no_phase2_match_or_timed_out
100.1.120.0/26,Landmark High School,no_phase2_match_or_timed_out
100.1.120.128/25,Landmark High School,no_phase2_match_or_timed_out
100.1.120.64/29,Landmark High School,no_phase2_match_or_timed_out
100.1.120.72/31,Landmark High School,no_phase2_match_or_timed_out
100.1.120.74/32,Landmark High School,no_phase2_match_or_timed_out
100.1.120.76/30,Landmark High School,no_phase2_match_or_timed_out
100.1.120.80/28,Landmark High School,no_phase2_match_or_timed_out
100.1.120.96/27,Landmark High School,no_phase2_match_or_timed_out
100.1.121.0/24,Landmark High School,no_phase2_match_or_timed_out
100.1.126.0/24,Landmark High School,no_phase2_match_or_timed_out
100.1.130.0/24,Landmark High School,no_phase2_match_or_timed_out
100.1.137.0/25,"Columbia Secondary School For Math, Science And Engineering",no_phase2_match_or_timed_out
100.1.137.128/26,"Columbia Secondary School For Math, Science And Engineering",no_phase2_match_or_timed_out
100.1.137.192/27,"Columbia Secondary School For Math, Science And Engineering",no_phase2_match_or_timed_out
100.1.137.224/29,"Columbia Secondary School For Math, Science And Engineering",no_phase2_match_or_timed_out
100.1.137.232/30,"Columbia Secondary School For Math, Science And Engineering",no_phase2_match_or_timed_out
100.1.137.236/32,"Columbia Secondary School For Math, Science And Engineering",no_phase2_match_or_timed_out
100.1.137.238/31,"Columbia Secondary School For Math, Science And Engineering",no_phase2_match_or_timed_out
100.1.137.240/28,"Columbia Secondary School For Math, Science And Engineering",no_phase2_match_or_timed_out
100.1.156.0/24,Hunter College Campus Schools,no_phase2_match_or_timed_out
100.1.193.0/24,Landmark High School,no_phase2_match_or_timed_out
100.1.51.0/24,Glenwood Elementary School,no_phase2_match_or_timed_out
100.1.77.0/24,Landmark High School,no_phase2_match_or_timed_out
100.1.86.0/24,Glenwood Elementary School,no_phase2_match_or_timed_out
100.1.89.0/24,"Columbia Secondary School For Math, Science And Engineering",no_phase2_match_or_timed_out
100.12.108.0/24,Waverly Park Elementary School,no_phase2_match_or_timed_out
100.12.237.0/24,Waverly Park Elementary School,no_phase2_match_or_timed_out
100.17.153.0/24,Hunter College Campus Schools,no_phase2_match_or_timed_out
