radius_km,phase1_24s,phase1_schools_w_blocks,phase_merged_24s,phase2_matched_ips,phase2_unique_24s,phase2_schools_w_match,phase3_total_ips,phase3_unique_24s,phase3_high_conf_ips,phase3_high_conf_schools,phase3b_high_conf_districts
5,87259,153,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
20,140596,153,138462,8429,37,7,8429,37,8145,4,4
30,0,0,0,0,0,0,0,0,0,0,0
