school_name,total_ips,high,medium,low,best_score,best_ip,best_hostname
P.S. 182 Samantha Smith,0,0,0,0,0,,
J.H.S. 162 The Willoughby,0,0,0,0,0,,
Saint Ladislaus School,0,0,0,0,0,,
Public School 305 Learners and Leaders,0,0,0,0,0,,
Be'ikvei Hatzoin,0,0,0,0,0,,
Sacred Heart School,0,0,0,0,0,,
Most Holy Trinity School,0,0,0,0,0,,
Bnos Chayil,0,0,0,0,0,,
Albany Avenue Elementary School,0,0,0,0,0,,
P.S. 305,0,0,0,0,0,,
Farmingdale High School,0,0,0,0,0,,
Montessori School of Manhattan,0,0,0,0,0,,
Saint Raphaels School,0,0,0,0,0,,
Sacred Heart Academy,0,0,0,0,0,,
Kew Gardens Pre-School,0,0,0,0,0,,
Walnut Street Elementary School,0,0,0,0,0,,
Saint Aloysius School,0,0,0,0,0,,
Monroe Street Elementary School,0,0,0,0,0,,
Public School 134,0,0,0,0,0,,
Prospect Avenue School,0,0,0,0,0,,
Barnum Woods Elementary School,0,0,0,0,0,,
Jamaica Learning Center,0,0,0,0,0,,
PS/IS 314Q,0,0,0,0,0,,
Salt Brook Elementary School,0,0,0,0,0,,
James F Murray Number 38 Elementary School,0,0,0,0,0,,
The Young Women's Leadership School of Queens,0,0,0,0,0,,
Saint Catherine of Siena School,0,0,0,0,0,,
Chancellor Avenue School Annex,0,0,0,0,0,,
Metropolitan Expeditionary Learning School,0,0,0,0,0,,
Queens Metropolitan High School,0,0,0,0,0,,
The Peck Slip School,0,0,0,0,0,,
South Country School,0,0,0,0,0,,
Gardiners Avenue Elementary School,0,0,0,0,0,,
Hamilton School,0,0,0,0,0,,
Number 29 Elementary School,0,0,0,0,0,,
Public School 233,0,0,0,0,0,,
Maple Avenue Elementary School,0,0,0,0,0,,
Maple Avenue School,0,0,0,0,0,,
Public School 196,0,0,0,0,0,,
Grossnickle Hall,0,0,0,0,0,,
Leadership and Public Service High School,0,0,0,0,0,,
School Number 41,0,0,0,0,0,,
Vodra Hall,0,0,0,0,0,,
Theresa Paplin School,0,0,0,0,0,,
West Babylon Junior High School,0,0,0,0,0,,
High School of Economics and Finance,0,0,0,0,0,,
A Harry Moore School,0,0,0,0,0,,
Downtown Little School,0,0,0,0,0,,
Lyons Community School,0,0,0,0,0,,
Professional Studies Building,0,0,0,0,0,,
Hepburn Hall,0,0,0,0,0,,
The Academy I Middle School,0,0,0,0,0,,
Rossey Hall,0,0,0,0,0,,
Public School 319,0,0,0,0,0,,
The Ideal Montessori School,0,0,0,0,0,,
Maple Avenue School Annex,0,0,0,0,0,,
Weequahic High School,0,0,0,0,0,,
Beth Jacob Seminary,0,0,0,0,0,,
Brooklyn Latin School,0,0,0,0,0,,
New Jersey City University,0,0,0,0,0,,
Chancellor Avenue Elementary School,0,0,0,0,0,,
Saint Pius X Seminary,0,0,0,0,0,,
Karnautsos Building,0,0,0,0,0,,
Science Building,0,0,0,0,0,,
Public School 19,0,0,0,0,0,,
Oak Knoll School,0,0,0,0,0,,
Fries Hall,0,0,0,0,0,,
Henry Snyder High School,0,0,0,0,0,,
Saint Vincent de Paul School,0,0,0,0,0,,
P.S. 117Q - J. Keld / Briarwood School,0,0,0,0,0,,
J.S. 217Q - Robert A. Van Wyck,0,0,0,0,0,,
Henry Snyder High School,0,0,0,0,0,,
Gilligan Student Union Building,0,0,0,0,0,,
Christ the King Regional High School,0,0,0,0,0,,
California Avenue Elementary School,0,0,0,0,0,,
Oak Knoll School,0,0,0,0,0,,
Public School 18,0,0,0,0,0,,
Eastplain School,0,0,0,0,0,,
Spruce Street School,0,0,0,0,0,,
Oak Knoll School,0,0,0,0,0,,
Covert Avenue Elementary School,0,0,0,0,0,,
Public School 184m,0,0,0,0,0,,
PS95Q,0,0,0,0,0,,
Saint Charles Borromen School,0,0,0,0,0,,
Saint John the Evangelist Lutheran School,0,0,0,0,0,,
Saint Johns Evangelical Lutheran School,0,0,0,0,0,,
Public School 99,0,0,0,0,0,,
Public School 71,0,0,0,0,0,,
St. Joseph School,0,0,0,0,0,,
Grover Cleveland High School,0,0,0,0,0,,
Archbishop Molloy High School,0,0,0,0,0,,
Number 14 Elementary School,0,0,0,0,0,,
Junior High School 50,0,0,0,0,0,,
Just Kids Early Childhood Learning Center,0,0,0,0,0,,
University Neighborhood High School,0,0,0,0,0,,
Parkway School,0,0,0,0,0,,
Jackson School Annex,0,0,0,0,0,,
New Jersey Regional Day School,0,0,0,0,0,,
George Washington Carver Elementary School,0,0,0,0,0,,
Saints Joachim and Ann School,0,0,0,0,0,,
Peshine Avenue Elementary School,0,0,0,0,0,,
Washington Street School,0,0,0,0,0,,
C'E Montessori Brooklyn,0,0,0,0,0,,
The Geraldine A. Ferraro Campus,0,0,0,0,0,,
C'E Montessori Brooklyn,0,0,0,0,0,,
Woodhull School (Historical),0,0,0,0,0,,
IS 238 - Susan B. Anthony,0,0,0,0,0,,
Public School 2,0,0,0,0,0,,
Saint Nicholas Elementary School,0,0,0,0,0,,
Junior High School 56,0,0,0,0,0,,
P.S. 035 Nathaniel Woodhull,0,0,0,0,0,,
Jackson School,0,0,0,0,0,,
The Mary Louis Academy,0,0,0,0,0,,
Number 22 Elementary School,0,0,0,0,0,,
Saint Patricks School,0,0,0,0,0,,
Union Avenue Middle School,0,0,0,0,0,,
Access Insitute,0,0,0,0,0,,
Cornelius Court School,0,0,0,0,0,,
Talent Prep,0,0,0,0,0,,
H. Frank Carey High School,0,0,0,0,0,,
Summit Child Care Center School,0,0,0,0,0,,
Yung Wing Elementary,0,0,0,0,0,,
Public School 124,0,0,0,0,0,,
P.S. 132 The Conselyea School,0,0,0,0,0,,
Tooker Avenue School,0,0,0,0,0,,
Floral Park Memorial High School,0,0,0,0,0,,
Grace School,0,0,0,0,0,,
Transfiguration Roman Catholic School,0,0,0,0,0,,
Belmont-Runyon Elementary School,0,0,0,0,0,,
PS 144,0,0,0,0,0,,
Temple Beth Ahm Preschool,0,0,0,0,0,,
Cornelia F. Bradford Elementary,0,0,0,0,0,,
Public School 84,0,0,0,0,0,,
P.S./I.S. 128 Q - Lorraine Tuzzo/Juniper Valley School,0,0,0,0,0,,
Williamsburg Northside Lower School,0,0,0,0,0,,
Middle School 577,0,0,0,0,0,,
Public School 17,0,0,0,0,0,,
Forest Avenue School,0,0,0,0,0,,
Hudson Montessori,0,0,0,0,0,,
Hudson Montessori,0,0,0,0,0,,
Southgate School,0,0,0,0,0,,
Our Lady of Consolation School,0,0,0,0,0,,
Hudson Montessori,0,0,0,0,0,,
PS 101Q The School in The Gardens,0,0,0,0,0,,
Harry Van Arsdale High School,0,0,0,0,0,,
Jersey City Regional Day School,0,0,0,0,0,,
Kenmare High School,0,0,0,0,0,,
Alpine Montessori of Millburn,0,0,0,0,0,,
Saint Margaret's Religious Education Center,0,0,0,0,0,,
Immaculate Conception Church,0,0,0,0,0,,
Kellenberg Memorial High School,0,0,0,0,0,,
Saint Peter's Preparatory School,0,0,0,0,0,,
Our Lady of Victories School,0,0,0,0,0,,
Rhodes Academy,0,0,0,0,0,,
Number 24 Elementary School,0,0,0,0,0,,
Public School 23,0,0,0,0,0,,
Intermediate School 131,0,0,0,0,0,,
Our Lady of Czestochowa School,0,0,0,0,0,,
Sewanhaka High School,0,0,0,0,0,,
Thomas A. Edison Career and Technical Education High School,0,0,0,0,0,,
School Settlement Association,0,0,0,0,0,,
Thomas Edison,0,0,0,0,0,,
Saint Paul the Apostle School,0,0,0,0,0,,
Woodward Parkway Elementary School,0,0,0,0,0,,
Saint Francis Preparatory School,0,0,0,0,0,,
Harmony Early Learning Center,0,0,0,0,0,,
Hempstead Head Start,0,0,0,0,0,,
Mount Vernon Avenue Elementary School,0,0,0,0,0,,
Frank R. Conwell Middle School,0,0,0,0,0,,
Manhattan Bridges High School,0,0,0,0,0,,
Seward Park High School,0,0,0,0,0,,
New Design High School,0,0,0,0,0,,
GC Tech,0,0,0,0,0,,
Northside Catholic School at Saint Vincent De Paul,0,0,0,0,0,,
Levittown Public Schools,1,1,0,0,2,167.206.233.4,mail.levittown.k12.ny.us
Stanley D. Saltzman East Memorial Elementary School,0,0,0,0,0,,
THRIVE Academy,0,0,0,0,0,,
Frank R. Conwell Number 3 Elementary School,0,0,0,0,0,,
John H. West School,0,0,0,0,0,,
Bragaw Avenue Elementary School,0,0,0,0,0,,
Chancellor Avenue Elementary School,0,0,0,0,0,,
Abbey Lane Elementary School,0,0,0,0,0,,
Hawthorne Elementary School,0,0,0,0,0,,
Belmont Runyon Elementary School,0,0,0,0,0,,
Pre-K and Kindergarten,0,0,0,0,0,,
Oquenock Elementary School,0,0,0,0,0,,
Stuyvesant High School,0,0,0,0,0,,
BSNBCS High School,0,0,0,0,0,,
Public School 142,0,0,0,0,0,,
Henley School,0,0,0,0,0,,
Wisdom Lane Middle School,0,0,0,0,0,,
Malcolm X Shabazz High School,0,0,0,0,0,,
Lower School,0,0,0,0,0,,
Maude S. Sherwood Elementary School,0,0,0,0,0,,
Weequahic High School,0,0,0,0,0,,
Waldorf School,0,0,0,0,0,,
Saint Annes School,0,0,0,0,0,,
Bard High School Early College,0,0,0,0,0,,
Queens Gateway to Health Sciences Secondary School,0,0,0,0,0,,
The Waldorf School of Garden City,0,0,0,0,0,,
Public School 130,0,0,0,0,0,,
High School,0,0,0,0,0,,
Julia A Barnes Number 12 Elementary School,0,0,0,0,0,,
Mesorah Academy,0,0,0,0,0,,
Middle School,0,0,0,0,0,,
Yeshiva Binat Chaim - Boys,0,0,0,0,0,,
St. Patrick School,0,0,0,0,0,,
St. Patrick School,0,0,0,0,0,,
Cathedral School of Saint Mary,0,0,0,0,0,,
P.S. 140 Nathan Straus,0,0,0,0,0,,
Number 33 Elementary School,0,0,0,0,0,,
New Explorations into Science Technology and Math High School,0,0,0,0,0,,
Cooke School and Institute Lower School,0,0,0,0,0,,
Our Lady of Sorrows School,0,0,0,0,0,,
Hebrew Academy of Nassau County,0,0,0,0,0,,
South Mountain Elementary School,0,0,0,0,0,,
South Mountain Elementary School,0,0,0,0,0,,
Saint Cecilia School,0,0,0,0,0,,
Public School M188 The Island School,0,0,0,0,0,,
Junior High School 126,0,0,0,0,0,,
Millburn High School,0,0,0,0,0,,
Kent Place School,0,0,0,0,0,,
George McVey Elementary School,0,0,0,0,0,,
Seley School,0,0,0,0,0,,
Public School MO94,0,0,0,0,0,,
Floral Park-Bellerose School,0,0,0,0,0,,
Lower East Side Preparatory High School,0,0,0,0,0,,
Public School 109,0,0,0,0,0,,
Resurrection Parish School,0,0,0,0,0,,
William H Brown Academy,0,0,0,0,0,,
Miller Street Elementary School,0,0,0,0,0,,
Academy II School,0,0,0,0,0,,
P.S.174Q William Sidney Mount,0,0,0,0,0,,
WeBees,0,0,0,0,0,,
Our Saviour Lutheran School,0,0,0,0,0,,
Summit Senior High School,0,0,0,0,0,,
P.S. 135,0,0,0,0,0,,
Saint Rose of Lima School,0,0,0,0,0,,
Our Lady of Hope School,0,0,0,0,0,,
Lincoln-Hubbard Elementary School,0,0,0,0,0,,
Santapogue Elementary School,0,0,0,0,0,,
Timber Point Elementary School,0,0,0,0,0,,
University High School,0,0,0,0,0,,
Saint Josephs School,0,0,0,0,0,,
The Kennedy School,0,0,0,0,0,,
The Summit School,0,0,0,0,0,,
County Prep High School,0,0,0,0,0,,
Saint Stephens Preschool,0,0,0,0,0,,
James J. Ferris High School,0,0,0,0,0,,
Anna Silver School,0,0,0,0,0,,
Clinton Avenue Elementary School,0,0,0,0,0,,
Seth Boyden Elementary School,0,0,0,0,0,,
Mitchel College,0,0,0,0,0,,
South Street Elementary School,0,0,0,0,0,,
Public School 15 - Roberto Clemente,0,0,0,0,0,,
Saint James School,0,0,0,0,0,,
Masera Learning Center,0,0,0,0,0,,
Marion G. Vedder Elementary School,0,0,0,0,0,,
Mount Carmel School,0,0,0,0,0,,
Gardiner Manor School,0,0,0,0,0,,
Augusta Elementary School,0,0,0,0,0,,
Augusta Elementary School,0,0,0,0,0,,
Our Lady of Victory School,0,0,0,0,0,,
Island Trees High School,0,0,0,0,0,,
School Number 18,0,0,0,0,0,,
Public School 72,0,0,0,0,0,,
Saint Aloysius Academy,0,0,0,0,0,,
Ardor School,0,0,0,0,0,,
Saint Mary's Junior-Senior High School,0,0,0,0,0,,
Arrojo Cosmetology School,0,0,0,0,0,,
Saint Casimir School,0,0,0,0,0,,
Ann Street Elementary School,0,0,0,0,0,,
Island Trees Memorial Middle School,0,0,0,0,0,,
J.H.S. 190Q Russel Sage,0,0,0,0,0,,
Cornelia F. Bradford Number 16 Elementary School,0,0,0,0,0,,
Our Lady of Lourdes School,0,0,0,0,0,,
Holy Family School,0,0,0,0,0,,
John F. Kennedy Elementary School,0,0,0,0,0,,
Public School 64,0,0,0,0,0,,
Public School 110,0,0,0,0,0,,
Garden City Middle School,0,0,0,0,0,,
Montessouri School,0,0,0,0,0,,
Stewart Manor Elementary School,0,0,0,0,0,,
Oratory Preparatory School,0,0,0,0,0,,
East Side High School,0,0,0,0,0,,
PS Q255,0,0,0,0,0,,
Montfort Seminary,0,0,0,0,0,,
Saint Columbus School,0,0,0,0,0,,
Public School #5,0,0,0,0,0,,
Public School 63,0,0,0,0,0,,
Number 1 Elementary School,0,0,0,0,0,,
Florence Avenue Elementary School,0,0,0,0,0,,
Chelsea Career and Techincal High School,0,0,0,0,0,,
Thurgood G Marshall Elementary School,0,0,0,0,0,,
Roosevelt School,0,0,0,0,0,,
Saint Dominic Academy,0,0,0,0,0,,
Academy of Saint Benedict,0,0,0,0,0,,
Louise A Spencer Elementary School,0,0,0,0,0,,
St. Brigid School,0,0,0,0,0,,
Saint Aloysius School,0,0,0,0,0,,
Locust School,0,0,0,0,0,,
Tuscan Elementary School,0,0,0,0,0,,
Glenwood Elementary School,0,0,0,0,0,,
Great Swamp Outdoor Education Center,0,0,0,0,0,,
Oliver Street Elementary School,0,0,0,0,0,,
Hewlett School of East Islip,0,0,0,0,0,,
Glenwood Elementary School,0,0,0,0,0,,
School Number 2,0,0,0,0,0,,
Hudson Catholic High School,0,0,0,0,0,,
Lincoln High School,0,0,0,0,0,,
Avon Avenue Elementary School,0,0,0,0,0,,
Manhattan School for Career Development,0,0,0,0,0,,
St. Paul's School,0,0,0,0,0,,
Public School 34,0,0,0,0,0,,
Millburn Middle School,0,0,0,0,0,,
Joseph H Brensinger Number 17 Elementary School,0,0,0,0,0,,
Resurrection School,0,0,0,0,0,,
Saint Anthony's High School,0,0,0,0,0,,
Madison Elementary School,0,0,0,0,0,,
PS 154,0,0,0,0,0,,
Academy Charter School,0,0,0,0,0,,
North Babylon High School,0,0,0,0,0,,
Primary Prep,0,0,0,0,0,,
John Lewis Childs School,0,0,0,0,0,,
McNair Academic High School,0,0,0,0,0,,
Elisabeth Irwin High School,0,0,0,0,0,,
Our Lady of Lourdes School,0,0,0,0,0,,
Harold Wilson School,0,0,0,0,0,,
Belmont Elementary School,0,0,0,0,0,,
William E. DeLuca Jr. Elementary School,0,0,0,0,0,,
Wilson Avenue Elementary School,0,0,0,0,0,,
Plainedge Middle School,0,0,0,0,0,,
The Children's Workshop School,0,0,0,0,0,,
Cooke Center Academy,0,0,0,0,0,,
Homestead School,0,0,0,0,0,,
Robert Moses Middle School,0,0,0,0,0,,
Rafael de J. Cordero Elementary School - PS 37,0,0,0,0,0,,
Saint James School,0,0,0,0,0,,
Saint Aedans School,0,0,0,0,0,,
Public School 621,0,0,0,0,0,,
Public School 139,0,0,0,0,0,,
La Salle Academy,0,0,0,0,0,,
Intermediate School 73,0,0,0,0,0,,
Stratford Avenue Elementary School,0,0,0,0,0,,
Grace Church School,0,0,0,0,0,,
Phyllis L. Susser School For Exceptional Children,0,0,0,0,0,,
Summit Lane School,0,0,0,0,0,,
Eighteenth Avenue Elementary School,0,0,0,0,0,,
PS58 - The School of Heroes,0,0,0,0,0,,
Brookdale Center Hebrew Union College,0,0,0,0,0,,
Saint Hedwigs School,0,0,0,0,0,,
Islip Middle School,0,0,0,0,0,,
Irvington High School,0,0,0,0,0,,
Maspeth High School,0,0,0,0,0,,
Division Avenue High School,0,0,0,0,0,,
East Side Community High School,0,0,0,0,0,,
Lower West Side Children's Center,0,0,0,0,0,,
Saint Marys School,0,0,0,0,0,,
Little Red School House & Elisabeth Irwin High School,0,0,0,0,0,,
Maplewood Middle School,0,0,0,0,0,,
Martin Luther King Jr.,0,0,0,0,0,,
East Meadow High School,0,0,0,0,0,,
Lafayette Street Annex School,0,0,0,0,0,,
Manetuck Elementary School,0,0,0,0,0,,
Michael F. Stokes Elementary School,0,0,0,0,0,,
Twelfth Street Academy,0,0,0,0,0,,
J. Fred Sparke Elementary School,0,0,0,0,0,,
Public School 165,0,0,0,0,0,,
Irvington Adult High School,0,0,0,0,0,,
Lafayette Street Elementary School,0,0,0,0,0,,
William L. Dickinson High School,0,0,0,0,0,,
East Village Community School,0,0,0,0,0,,
West Sayville Christian School,0,0,0,0,0,,
Forest Hills High School,0,0,0,0,0,,
Yeshiva of Central Queens,0,0,0,0,0,,
Islip Middle & High School,0,0,0,0,0,,
Walsh High School,0,0,0,0,0,,
Doctor Charles P DeFuccio Number 39 Elementary School,0,0,0,0,0,,
Saint Joseph's Grammar School,0,0,0,0,0,,
Meadowbrook Elementary School,0,0,0,0,0,,
LaSalle Military Academy (historical),0,0,0,0,0,,
Market Street School,0,0,0,0,0,,
Central High School,0,0,0,0,0,,
Montgomery Street High School,0,0,0,0,0,,
Saint Leos School,0,0,0,0,0,,
Southern Boulevard Elementary,0,0,0,0,0,,
Immaculate Conception School,0,0,0,0,0,,
Hagop Kevorkian Center for Near Eastern Studies,0,0,0,0,0,,
Immaculate Heart of Mary School,0,0,0,0,0,,
Ivy Day School,0,0,0,0,0,,
Samuel L Berliner School,0,0,0,0,0,,
Grey Charter School,0,0,0,0,0,,
P.S. 175 the Lynn Gross Discovery School,0,0,0,0,0,,
Quitman Community School,0,0,0,0,0,,
Holy Spirit School,0,0,0,0,0,,
Berkeley Terrace Elementary School,0,0,0,0,0,,
Stewart School,0,0,0,0,0,,
Hawkins Street Elementary School,0,0,0,0,0,,
Public School 200,0,0,0,0,0,,
Islip High School,0,0,0,0,0,,
Cleveland Elementary School,0,0,0,0,0,,
Bay Shore High School,28,28,0,0,2,65.254.5.1,gw.bayshore.k12.ny.us
Winston School,0,0,0,0,0,,
Iris and B Gerald Cantor Film Center,0,0,0,0,0,,
Fifth Avenue School,0,0,0,0,0,,
Chatham High School,0,0,0,0,0,,
Saint John Baptist De LaSalle Regional School,0,0,0,0,0,,
Grace Church School,0,0,0,0,0,,
Grace Church School,0,0,0,0,0,,
Madison Avenue Elementary School,0,0,0,0,0,,
Weldon E. Howitt Middle School,0,0,0,0,0,,
Udall Road Middle School,0,0,0,0,0,,
Lafayette Elementary School,0,0,0,0,0,,
Barrow Street Nursery School,0,0,0,0,0,,
Greenwich House Preschool,0,0,0,0,0,,
Saint Josephs School,0,0,0,0,0,,
J.H.S. 157 Stephen A. Halsey,0,0,0,0,0,,
North Star Academy,0,0,0,0,0,,
Lincoln High School,0,0,0,0,0,,
Institute for Collaborative Education,0,0,0,0,0,,
Public School 3,0,0,0,0,0,,
Saint Adalbert Catholic Academy,0,0,0,0,0,,
Saint Joseph's Washington Place School,0,0,0,0,0,,
Manhattan Comprehensive Night And Day High School,0,0,0,0,0,,
High School for Health Professions and Human Services,0,0,0,0,0,,
West Kenney Junior High School,0,0,0,0,0,,
Bay Shore High School,28,28,0,0,2,65.254.5.1,gw.bayshore.k12.ny.us
Morton Street Elementary School,0,0,0,0,0,,
Hartshorn Elementary School,0,0,0,0,0,,
Brook Avenue School,0,0,0,0,0,,
Prince of Peace Regional School,0,0,0,0,0,,
Garden City High School,0,0,0,0,0,,
KIPP Spark Academy,0,0,0,0,0,,
Sayville High School,0,0,0,0,0,,
Martin Van Buren High School,0,0,0,0,0,,
Saint Peters School,0,0,0,0,0,,
Friends Seminary,0,0,0,0,0,,
P.S. 206Q - Horace Harding School,0,0,0,0,0,,
Public School 173,0,0,0,0,0,,
Brennan Middle/High School,0,0,0,0,0,,
Arts High School,0,0,0,0,0,,
Yeshiva Or Chadash,0,0,0,0,0,,
Great Oaks Legacy Downtown Middle School,0,0,0,0,0,,
Bard High School Early College Newark,0,0,0,0,0,,
Clinton Elementary School,0,0,0,0,0,,
Harriet Tubman Elementary School,0,0,0,0,0,,
South Mountain Nursury and Kindergarten,0,0,0,0,0,,
Public School 78,0,0,0,0,0,,
University Middle School,0,0,0,0,0,,
Number 23 Elementary School,0,0,0,0,0,,
Goethe Institute,0,0,0,0,0,,
People's Preparatory Charter School,0,0,0,0,0,,
Chabad of Gramercy Park,0,0,0,0,0,,
Idle Hour Elementary School,0,0,0,0,0,,
PS 188 Annex,0,0,0,0,0,,
Public School 41,0,0,0,0,0,,
Salk School of Science,0,0,0,0,0,,
Public School 40,0,0,0,0,0,,
St. Mary School,0,0,0,0,0,,
Columbia High School,0,0,0,0,0,,
Parish School of Saints Cyril and Methodius,0,0,0,0,0,,
Central Boulevard Elementary School,0,0,0,0,0,,
Stephen E. Karopczyc School Administrative Offices,0,0,0,0,0,,
Jefferson Elementary School,0,0,0,0,0,,
Fielding School (School District Offices),0,0,0,0,0,,
New Hyde Park Road Elementary School,0,0,0,0,0,,
Public School 188,0,0,0,0,0,,
PS/MS 219 Paul Klapper,0,0,0,0,0,,
The Clinton School,0,0,0,0,0,,
Saint Johns School,0,0,0,0,0,,
Jotham W. Wakeman No. 6. Elementary School,0,0,0,0,0,,
School for Poetic Computation,0,0,0,0,0,,
Central Queens Charter School,0,0,0,0,0,,
Public School 220 Edward Mandel,0,0,0,0,0,,
Saint Anns School,0,0,0,0,0,,
United Nations International School,0,0,0,0,0,,
PS 201,0,0,0,0,0,,
Mount Vernon Elementary School,0,0,0,0,0,,
Grove Street Elementary School,0,0,0,0,0,,
The Elija School,0,0,0,0,0,,
Sayville Elementary School,0,0,0,0,0,,
Middle School 216,0,0,0,0,0,,
Saint John's School,0,0,0,0,0,,
Saint Patrick School,0,0,0,0,0,,
Intermediate School 5 Walter S. Crowley,0,0,0,0,0,,
The Ephiphany School,0,0,0,0,0,,
City and Country School,0,0,0,0,0,,
Isaac Newton Elementary,0,0,0,0,0,,
PhotoManhattan,0,0,0,0,0,,
Vailsburg Middle School,0,0,0,0,0,,
Xavier High School,0,0,0,0,0,,
Fifteenth Avenue Elementary School,0,0,0,0,0,,
Anthony J Infante Number 31 Elementary School,0,0,0,0,0,,
Parliament Place Elementary School,0,0,0,0,0,,
John Bowne High School,0,0,0,0,0,,
LaSalle Regional School - Bethpage Campus,0,0,0,0,0,,
Fourteenth Avenue Elementary School,0,0,0,0,0,,
ECLC School of New Jersey,0,0,0,0,0,,
PS/IS 499,0,0,0,0,0,,
Adelphi College Suffolk Division,0,0,0,0,0,,
St. Mary's Parochial School,0,0,0,0,0,,
Woods Road Elementary School,0,0,0,0,0,,
The Sixth Avenue Elementary School - PS340,0,0,0,0,0,,
P.S. 384 - Hunters Point Elementary,0,0,0,0,0,,
School of the Future,0,0,0,0,0,,
Sacred Heart of Jesus School,0,0,0,0,0,,
Northside School,0,0,0,0,0,,
Cherry Avenue Elementary School,0,0,0,0,0,,
Northside Elementary School,0,0,0,0,0,,
Patricia M. Noonan Elementary School,0,0,0,0,0,,
Bethpage Nursery School,0,0,0,0,0,,
Saint Adalberts School,0,0,0,0,0,,
Winston Prepatory School,0,0,0,0,0,,
Public School 199 Maurice A. FitzGerald,0,0,0,0,0,,
Academy Street Elementary School,0,0,0,0,0,,
Premm Learning Center,0,0,0,0,0,,
Notre Dame School,0,0,0,0,0,,
Science Park High School,0,0,0,0,0,,
Science Park High School,0,0,0,0,0,,
Essex County Technical Careers Center,0,0,0,0,0,,
Hemlock School,0,0,0,0,0,,
Wing Elementary School,0,0,0,0,0,,
I.S. 125 Thomas J. McCann Woodside Intermediate School,0,0,0,0,0,,
Thomas G. Connors Primary School,0,0,0,0,0,,
Sprout House School,0,0,0,0,0,,
Stevens Cooperative School,0,0,0,0,0,,
Saint Antoninus School,0,0,0,0,0,,
Stevens Cooperative School,0,0,0,0,0,,
Metropolitan Gallery / Meeting Site,0,0,0,0,0,,
Corlears School,0,0,0,0,0,,
Saint Roccos School,0,0,0,0,0,,
Bay Shore Middle School,0,0,0,0,0,,
Newtown High School,0,0,0,0,0,,
Express Newark,0,0,0,0,0,,
Francis Lewis High School,0,0,0,0,0,,
Franklin L. Williams Middle School,0,0,0,0,0,,
NJPAC Center for Arts Education,0,0,0,0,0,,
St. Joseph's School for the Blind,0,0,0,0,0,,
PS 14,0,0,0,0,0,,
Public School 163,0,0,0,0,0,,
Mineola High School,0,0,0,0,0,,
Public School 14,0,0,0,0,0,,
Montessori Flatiron,0,0,0,0,0,,
Garden City Park School,0,0,0,0,0,,
Hillside Grade School,0,0,0,0,0,,
New Hyde Park Memorial High School,0,0,0,0,0,,
Churchill School and Center,0,0,0,0,0,,
Hoboken Catholic Academy,0,0,0,0,0,,
Queens Technical High School,0,0,0,0,0,,
Public School 4,0,0,0,0,0,,
Baruch College Campus High School,0,0,0,0,0,,
Saint Nicholas School,0,0,0,0,0,,
Manhattan Village Academy,0,0,0,0,0,,
Intermediate School 61 - Leonardo da Vinci,0,0,0,0,0,,
North Star Academy Charter School of Newark,0,0,0,0,0,,
West Side High School,0,0,0,0,0,,
P4@Skillman School,0,0,0,0,0,,
John F. Kennedy School,0,0,0,0,0,,
P.S. 12 - James B. Colgate School,0,0,0,0,0,,
Saint Francis Preparatory School,0,0,0,0,0,,
Our Lady of Sorrows School,0,0,0,0,0,,
New York City Laboratory Middle School for Collaborative Studies,0,0,0,0,0,,
New York City Laboratory School for Collaborative Studies,0,0,0,0,0,,
Pingry School Short Hills Campus,0,0,0,0,0,,
New York City Museum School,0,0,0,0,0,,
Lincoln Elementary School,0,0,0,0,0,,
Mustard Seed School,0,0,0,0,0,,
Kealy School,0,0,0,0,0,,
Charles E. Trefurt School - PS 8,0,0,0,0,0,,
Academy for Careers in Television & Film,0,0,0,0,0,,
Hoboken Childrens Academy,0,0,0,0,0,,
Saint Marys School,0,0,0,0,0,,
Quest to Learn,0,0,0,0,0,,
Bayport-Blue Point High School,0,0,0,0,0,,
Bruce Street School,0,0,0,0,0,,
Mineola Middle School,0,0,0,0,0,,
Thirteenth Avenue/MLK Elementary School,0,0,0,0,0,,
Saint Vincent Academy,0,0,0,0,0,,
Speedway Avenue Elementary School,0,0,0,0,0,,
Aviation High School,0,0,0,0,0,,
Charles Evan Hughes High School,0,0,0,0,0,,
Voyages Preparatory High School,0,0,0,0,0,,
Public School 177,0,0,0,0,0,,
Civic Leadership Academy,0,0,0,0,0,,
Q530 International High School at LaGuardia Community College,0,0,0,0,0,,
Pan American International High School,0,0,0,0,0,,
Calabro School,0,0,0,0,0,,
Glen Oaks Campus,0,0,0,0,0,,
Lexington Avenue Campus Touro College,0,0,0,0,0,,
Mosaic Pre-K Center,0,0,0,0,0,,
Alexander Street Elementary School,0,0,0,0,0,,
Bowling Green Elementary School,0,0,0,0,0,,
Saint Anns School,0,0,0,0,0,,
Middle School 260,0,0,0,0,0,,
Public School 11,0,0,0,0,0,,
PS/IS 78Q Early Childhood Center,0,0,0,0,0,,
Mary G. Clarkson School,0,0,0,0,0,,
Public School 116,0,0,0,0,0,,
The River School,0,0,0,0,0,,
Boylan Early Childhood Center,0,0,0,0,0,,
Rebecca School,0,0,0,0,0,,
Sacred Heart School,0,0,0,0,0,,
Commack Road Elementary School,0,0,0,0,0,,
Saint Leos School,0,0,0,0,0,,
All Saints Episcopal Day School,0,0,0,0,0,,
Nathaniel Hawthorne Middle School 74,0,0,0,0,0,,
