school_name,ips_found,high,medium,low,best_confidence,source
Robert Frost Elementary School,0,0,0,0,none,none
Farnsworth Middle School,0,0,0,0,none,none
Poestenkill Elementary School,0,0,0,0,none,none
Cooperstown Elementary School,0,0,0,0,none,none
Tech Valley High School,0,0,0,0,none,none
Blue Creek Elementary School,0,0,0,0,none,none
KIPP Troy Prep Elementary School,0,0,0,0,none,none
Lisha Kill Middle School,0,0,0,0,none,none
Turnpike Elementary School,0,0,0,0,none,none
William C Keane Elementary School,0,0,0,0,none,none
Hamilton Elementary School,0,0,0,0,none,none
Martin Luther King Magnet Elementary School,0,0,0,0,none,none
Fabius-Pompey Middle School-High School,0,0,0,0,none,none
West Senior High School,0,0,0,0,none,none
Lorraine Elementary School,0,0,0,0,none,none
Lancaster Middle School,0,0,0,0,none,none
Avon Middle School,0,0,0,0,none,none
Waterloo High & Middle School Campus,0,0,0,0,none,none
Seneca Falls Middle School,0,0,0,0,none,none
Skaneateles High School,0,0,0,0,none,none
Red Jacket High School,0,0,0,0,none,none
Amsterdam High School,0,0,0,0,none,none
Pembroke Jr. Sr. High School,0,0,0,0,none,none
Eagle Hill Middle School,0,0,0,0,none,none
Enders Road Elementary School,0,0,0,0,none,none
OESJ High School,0,0,0,0,none,none
Immaculate Conception Elementary School,0,0,0,0,none,none
Westhill Central High School,0,0,0,0,none,none
Jordan-Elbridge Senior High School,0,0,0,0,none,none
OESJ Elementary/Middle School,0,0,0,0,none,none
Macedon Elementary School,0,0,0,0,none,none
Pine Grove Middle and Woodland Elementary,0,0,0,0,none,none
Jefferson Road Elementary School,0,0,0,0,none,none
Lake Avenue Elementary School,0,0,0,0,none,none
John F Hughes Elementary School,0,0,0,0,none,none
Gaskill High School,0,0,0,0,none,none
North Broad Elementary School,0,0,0,0,none,none
Maple Avenue Middle School,0,0,0,0,none,none
Mayfield Elementary School,0,0,0,0,none,none
Donlin Drive Elementary School,0,0,0,0,none,none
Vernon-Verona-Sherrill Senior High School,0,0,0,0,none,none
John F. Kennedy Middle School,0,0,0,0,none,none
Rockester Preparatory High School,0,0,0,0,none,none
Marion Junior-Senior High School,0,0,0,0,none,none
Ballard Elementary School,0,0,0,0,none,none
DeSales Elementary and Middle School,0,0,0,0,none,none
Willow Field Elementary School,0,0,0,0,none,none
Bellamy Elementary School,0,0,0,0,none,none
Spry Middle School,0,0,0,0,none,none
Willink Middle School,0,0,0,0,none,none
Albion Middle School,0,0,0,0,none,none
Corinth Middle-High School,0,0,0,0,none,none
Paddy Hill Elementary School,0,0,0,0,none,none
Millard Hawk Elementary School,0,0,0,0,none,none
Paul V Moore High School,0,0,0,0,none,none
Abraham Wing Elementary School,0,0,0,0,none,none
Whitehall Elementary School,0,0,0,0,none,none
Sandy Creek High School,0,0,0,0,none,none
General Bruce C. Clark Junior/Senior High School,0,0,0,0,none,none
Ohio Elementary School,0,0,0,0,none,none
Dexter Elementary School,0,0,0,0,none,none
Indian River Central High School,2,0,0,2,low,direct
Theresa Elementary School,0,0,0,0,none,none
Lake Placid High School,2,2,0,0,high,direct
Paul Smiths College,0,0,0,0,none,none
Grant C. Madill Elementary School,0,0,0,0,none,none
John F. Kennedy Elementary School,0,0,0,0,none,none
Madrid-Waddington High School,0,0,0,0,none,none
Malone Middle School,254,0,254,0,medium,direct
Flanders Elementary School,0,0,0,0,none,none
Madison Elementary School,0,0,0,0,none,none
Rouses Point Elementary School,0,0,0,0,none,none
