cidr,school_name,verdict,ny_k12_found,k12_found,ips_checked,total_hosts
146.75.149.104/31,Fishkill Elementary School,CONFIRMED_NEGATIVE,,,2,2
208.125.226.156/30,Blue Creek Elementary School,CONFIRMED_NEGATIVE,,,2,2
136.23.62.216/30,Westhill Central High School,CONFIRMED_NEGATIVE,,,2,2
108.27.255.0/24,"Columbia Secondary School For Math, Science And Engineering",CONFIRMED_NEGATIVE,,,40,254
24.39.181.96/29,Jefferson Road Elementary School,CONFIRMED_NEGATIVE,,,6,6
98.0.201.116/30,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
104.30.173.28/32,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,1,1
24.103.166.56/29,Westhill Central High School,CONFIRMED_NEGATIVE,,,6,6
72.43.181.192/27,Hanson Place Seventh-Day Adventist Elementary School,CONFIRMED_NEGATIVE,,,30,30
157.130.251.0/25,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,40,126
38.65.37.0/24,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,40,254
24.103.126.224/29,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,6,6
69.193.25.40/30,John F Hughes Elementary School,CONFIRMED_NEGATIVE,,,2,2
50.75.33.0/28,Bell Top Elementary School,CONFIRMED_NEGATIVE,,,14,14
38.105.182.0/28,Stuyvesant High School,CONFIRMED_NEGATIVE,,,14,14
208.125.171.24/30,Albion Middle School,CONFIRMED_NEGATIVE,,,2,2
104.241.193.0/24,Rachel Carson High School for Coastal Studies,CONFIRMED_NEGATIVE,,,40,254
141.155.163.0/24,Waverly Park Elementary School,CONFIRMED_NEGATIVE,,,40,254
72.45.173.88/29,John F Hughes Elementary School,CONFIRMED_NEGATIVE,,,6,6
24.213.139.176/28,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,14,14
139.104.192.0/24,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,40,254
50.74.21.188/30,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
204.16.120.29/32,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,1,1
184.74.74.124/30,Westhill Central High School,CONFIRMED_NEGATIVE,,,2,2
184.74.127.232/29,Kenmore West Sr. High School,CONFIRMED_NEGATIVE,,,6,6
24.39.115.168/30,Rhinebeck High School,CONFIRMED_NEGATIVE,,,2,2
24.213.191.248/30,Bethlehem Central Middle School,CONFIRMED_NEGATIVE,,,2,2
185.195.57.180/31,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
23.246.123.56/30,Stuyvesant High School,CONFIRMED_NEGATIVE,,,2,2
184.75.41.144/28,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,14,14
46.248.140.176/29,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,6,6
50.75.163.120/29,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,6,6
38.104.201.224/30,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
24.39.156.120/29,Queens Technical High School,CONFIRMED_NEGATIVE,,,6,6
24.169.78.136/30,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,2,2
208.125.101.60/30,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,2,2
208.127.230.4/30,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
72.45.233.104/30,Kenmore West Sr. High School,CONFIRMED_NEGATIVE,,,2,2
208.105.130.128/29,Bethlehem Central Middle School,CONFIRMED_NEGATIVE,,,6,6
150.221.55.216/30,Tech Valley High School,CONFIRMED_NEGATIVE,,,2,2
46.248.132.96/28,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,14,14
24.169.88.88/29,West Senior High School,CONFIRMED_NEGATIVE,,,6,6
108.145.159.96/32,West Senior High School,CONFIRMED_NEGATIVE,,,1,1
71.172.121.0/24,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,40,254
50.75.138.0/27,Union-Endicott High School,CONFIRMED_NEGATIVE,,,30,30
208.105.183.80/28,Bethlehem Central Middle School,CONFIRMED_NEGATIVE,,,14,14
208.125.108.56/30,Rockester Preparatory High School,CONFIRMED_NEGATIVE,,,2,2
107.172.78.0/24,Lorraine Elementary School,CONFIRMED_NEGATIVE,,,40,254
69.193.7.168/29,Lake Avenue Elementary School,CONFIRMED_NEGATIVE,,,6,6
24.103.32.120/29,Stuyvesant High School,CONFIRMED_NEGATIVE,,,6,6
38.104.74.182/31,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
24.103.17.32/28,Elisabeth Irwin High School,CONFIRMED_NEGATIVE,,,14,14
38.86.164.48/28,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,14,14
172.226.19.160/27,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,30,30
72.45.199.80/29,Kenmore West Sr. High School,CONFIRMED_NEGATIVE,,,6,6
72.43.208.0/30,Bell Top Elementary School,CONFIRMED_NEGATIVE,,,2,2
38.104.52.192/28,Bethlehem Central Middle School,CONFIRMED_NEGATIVE,,,14,14
172.226.202.64/31,John F Hughes Elementary School,CONFIRMED_NEGATIVE,,,2,2
74.199.250.240/28,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,14,14
64.19.65.32/27,Ohio Elementary School,CONFIRMED_NEGATIVE,,,30,30
208.125.0.36/30,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
74.199.137.232/29,Stuyvesant High School,CONFIRMED_NEGATIVE,,,6,6
50.75.154.184/30,North Broad Elementary School,CONFIRMED_NEGATIVE,,,2,2
50.74.201.156/30,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,2,2
24.213.138.108/30,Donlin Drive Elementary School,CONFIRMED_NEGATIVE,,,2,2
24.103.11.148/30,Elisabeth Irwin High School,CONFIRMED_NEGATIVE,,,2,2
72.43.26.228/30,Westhill Central High School,CONFIRMED_NEGATIVE,,,2,2
69.193.220.208/30,Hanson Place Seventh-Day Adventist Elementary School,CONFIRMED_NEGATIVE,,,2,2
24.58.217.66/32,Lorraine Elementary School,CONFIRMED_NEGATIVE,,,1,1
178.159.176.152/29,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,6,6
24.39.71.0/28,Union-Endicott High School,CONFIRMED_NEGATIVE,,,14,14
208.105.44.176/29,South Brooklyn Community High School,CONFIRMED_NEGATIVE,,,6,6
24.97.115.176/28,Kenmore West Sr. High School,CONFIRMED_NEGATIVE,,,14,14
